NAMEEN,AREAID
aba,101271901
akesu,101130801
alaer,101130701
aletai,101131401
ali,101140701
ankang,101110701
anqing,101220601
anshan,101070301
anshun,101260301
anyang,101180201
baicheng,101060601
baise,101301001
baisha,101310207
baishan,101060901
baiyin,101161301
baoding,101090201
baoji,101110901
baoshan,101290501
baoting,101310214
baotou,101080201
bazhong,101270901
beihai,101301301
beijing,101010100
bengbu,101220201
benxi,101070501
bijie,101260701
binzhou,101121101
bozhou,101220901
cangzhou,101090701
changchun,101060101
changde,101250601
changdu,101140501
changji,101130401
changjiang,101310206
changsha,101250101
changzhi,101100501
changzhou,101191101
chaoyang,101071201
chaozhou,101281501
chengde,101090402
chengdu,101270101
chengmai,101310204
chenzhou,101250501
chifeng,101080601
chizhou,101221701
chongqing,101040100
chongzuo,101300201
chuxiong,101290801
chuzhou,101221101
dali,101290201
dalian,101070201
dandong,101070601
danzhou,101310205
daqing,101050901
datong,101100201
daxinganling,101050701
dazhou,101270601
dehong,101291501
deyang,101272001
dezhou,101120401
diaoyudao,101231001
dingan,101310209
dingxi,101160201
dongfang,101310202
dongguan,101281601
dongying,101121201
eerduosi,101080701
enshi,101201001
ezhou,101200301
fangchenggang,101301401
foshan,101280800
fushun,101070401
fuxin,101070901
fuyang,101220801
fuzhou-fujian,101230101
fuzhou-jiangxi,101240401
ganzhou,101240701
ganzi,101271801
gaoxiong,101340201
geermu,101150901
guangan,101270801
guangyuan,101272101
guangzhou,101280101
guigang,101300801
guilin,101300501
guiyang,101260101
guoluo,101150501
guyuan,101170401
haerbin,101050101
haibei,101150801
haidong,101150201
haikou,101310101
hainan,101150401
haixi,101150701
hami,101131201
handan,101091001
hangzhou,101210101
hanzhong,101110801
hebi,101181201
hechi,101301201
hefei,101220101
hegang,101051201
heihe,101050601
hengshui,101090801
hengyang,101250401
hetian,101131301
heyuan,101281201
heze,101121001
hezhou,101300701
honghe,101290301
hongkong,101320101
huaian,101190901
huaibei,101221201
huaihua,101251201
huainan,101220401
huanggang,101200501
huangnan,101150301
huangshan,101221001
huangshi,101200601
huhehaote,101080101
huizhou,101280301
huludao,101071401
huzhou,101210201
jiamusi,101050401
jian,101240601
jiangmen,101281101
jiaozuo,101181101
jiaxing,101210301
jiayuguan,101161401
jieyang,101281901
jilin,101060201
jinan,101120101
jinchang,101160601
jincheng,101100601
jingdezhen,101240801
jingmen,101201401
jingzhou,101200801
jinhua,101210901
jining,101120701
jinzhong,101100401
jinzhou,101070701
jiujiang,101240201
jiuquan,101160801
jixi,101051101
jiyuan,101181801
kaifeng,101180801
kashi,101130901
kelamayi,101130201
kunming,101290101
laibin,101300401
laiwu,101121601
langfang,101090601
lanzhou,101160101
lasa,101140101
ledong,101310221
leshan,101271401
liangshan,101271601
lianyungang,101191001
liaocheng,101121701
liaoyang,101071001
liaoyuan,101060701
lijiang,101291401
lincang,101291101
linfen,101100701
lingao,101310203
lingshui,101310216
linxia,101161101
linyi,101120901
linzhi,101140401
lishui,101210801
liupanshui,101260801
liuzhou,101300301
longyan,101230701
loudi,101250801
luan,101221501
luohe,101181501
luoyang,101180901
luzhou,101271001
lvliang,101101100
maanshan,101220501
macao,101330101
maoming,101282001
meishan,101271501
meizhou,101280401
mianyang,101270401
mudanjiang,101050301
nanchang,101240101
nanchong,101270501
nanjing,101190101
nanning,101300101
nanping,101230901
nansha,101310220
nantong,101190501
nanyang,101180701
nanzidao,101310230
naqu,101140601
neijiang,101271201
ningbo,101210401
ningde,101230301
nujiang,101291201
panjin,101071301
panzhihua,101270201
pingdingshan,101180501
pingliang,101160301
pingxiang,101240901
puer,101290901
putian,101230401
puyang,101181301
qianjiang,101201701
qingdao,101120201
qingyang,101160401
qingyuan,101281301
qinhuangdao,101091101
qinzhou,101301101
qionghai,101310211
qiongzhong,101310208
qiqihaer,101050201
qitaihe,101051002
quanzhou,101230501
qujing,101290401
quzhou,101211001
rikaze,101140201
rizhao,101121501
sanmenxia,101181701
sanming,101230801
sanya,101310201
shanghai,101020100
shangluo,101110601
shangqiu,101181001
shangrao,101240301
shannan,101140301
shantou,101280501
shanwei,101282101
shaoguan,101280201
shaoxing,101210501
shaoyang,101250901
shennongjia,101201201
shenyang,101070101
shenzhen,101280601
shihezi,101130301
shijiazhuang,101090101
shiyan,101201101
shizuishan,101170201
shuangyashan,101051301
shuozhou,101100901
siping,101060401
songyuan,101060801
suihua,101050501
suining,101270701
suizhou,101201301
suqian,101191301
suzhou-jiangsu,101190401
suzhou-anhui,101220701
tacheng,101131101
taian,101120801
taibeixian,101340101
taiyuan,101100101
taizhong,101340401
taizhou-jiangsu,101191201
taizhou-zhejiang,101210601
tangshan,101090501
tianjin,101030100
tianmen,101201501
tianshui,101160901
tieling,101071101
tongchuan,101111001
tonghua,101060501
tongliao,101080501
tongling,101221301
tongren,101260601
tulufan,101130501
tunchang,101310210
wanning,101310215
weifang,101120601
weihai,101121301
weinan,101110501
wenchang,101310212
wenshan,101290601
wenzhou,101210701
wuhai,101080301
wuhan,101200101
wuhu,101220301
wulumuqi,101130101
wuwei,101160501
wuxi,101190201
wuzhishan,101310222
wuzhong,101170301
wuzhou,101300601
xiamen,101230201
xian,101110101
xiangtan,101250201
xiangyang,101200201
xianning,101200701
xiantao,101201601
xianyang,101110200
xiaogan,101200401
xingtai,101090901
xining,101150101
xinxiang,101180301
xinyang,101180601
xinyu,101241001
xinzhou,101101001
xisha,101310217
xuancheng,101221401
xuchang,101180401
xuzhou,101190801
yaan,101271701
yanan,101110300
yanbian,101060301
yancheng,101190701
yangjiang,101281801
yangling,101111101
yangquan,101100301
yangzhou,101190601
yantai,101120501
yibin,101271101
yichang,101200901
yichun-heilongjiang,101050801
yichun-jiangxi,101240501
yinchuan,101170101
yingkou,101070801
yingtan,101241101
yiyang,101250700
yongzhou,101251401
yueyang,101251001
yulin-shanxi,101110401
yulin-guangxi,101300901
yuncheng,101100801
yunfu,101281401
yushu,101150601
yuxi,101290701
zaozhuang,101121401
zhangjiajie,101251101
zhangjiakou,101090301
zhangye,101160701
zhangzhou,101230601
zhanjiang,101281001
zhaoqing,101280901
zhaotong,101291001
zhengzhou,101180101
zhenjiang,101190301
zhongsha,101310224
zhongshan,101281701
zhongwei,101170501
zhoukou,101181401
zhoushan,101211101
zhuhai,101280701
zhumadian,101181601
zhuzhou,101250301
zibo,101120301
zigong,101270301
ziyang,101271301
zunyi,101260201
